policy_entropy,nupdates,fps,approxkl,clipfrac,explained_variance,value_loss,time_elapsed,eprewmean,serial_timesteps,total_timesteps,policy_loss,eplenmean
0.5917274,183,337,0.009376671,0.09770508,0.8099547475576401,0.00023437043,1063.8490738868713,1.91,374784,374784,-0.0007029304,844.46
0.6144239,184,321,0.009142748,0.11196289,0.8675549030303955,0.0003867608,1070.219910144806,1.82,376832,376832,-0.0023375533,847.41
0.6253836,185,330,0.0082688555,0.10234375,0.8670281320810318,0.0002522714,1076.4159157276154,1.81,378880,378880,-0.0006728248,845.63
0.7399696,186,301,0.019471016,0.097802736,0.7941624671220779,0.0009676347,1083.202078819275,1.71,380928,380928,-0.0032619839,842.92
0.72690517,187,323,0.013719385,0.11459961,0.325467586517334,0.0857041,1089.5370070934296,1.36,382976,382976,-0.002664723,833.22
0.8338951,188,302,0.015410778,0.14448242,0.2388441562652588,0.47965097,1096.3076722621918,1.71,385024,385024,-0.0007360641,817.12
0.86358833,189,318,0.013022731,0.11289062,0.5859450399875641,0.06910502,1102.7425227165222,1.59,387072,387072,0.00053638907,812.59
0.8276148,190,314,0.017359328,0.16132812,0.25450974702835083,0.22766666,1109.2471086978912,1.69,389120,389120,-0.0028279412,797.17
0.8556198,191,306,0.018907765,0.17285156,0.47342807054519653,0.005895732,1115.925544500351,1.61,391168,391168,-0.0016187734,787.5
0.78281844,192,315,0.017384244,0.1583496,0.5991130173206329,0.0029024598,1122.4104616641998,1.59,393216,393216,-0.0002834925,757.85
0.8078842,193,333,0.015003269,0.1765625,0.42536211013793945,0.032549575,1128.5517156124115,1.65,395264,395264,-0.0028807265,732.21
0.80300254,194,304,0.018725857,0.1319336,0.02170318365097046,0.5166557,1135.2744088172913,1.87,397312,397312,6.736162e-05,689.35
0.85451,195,320,0.009987356,0.12470703,0.3463239073753357,0.005201745,1141.6723237037659,1.78,399360,399360,-0.00058067945,661.91
0.85575473,196,352,0.01155997,0.13886718,0.06047326326370239,0.08807003,1147.4746489524841,1.85,401408,401408,-9.771447e-05,644.68
0.9003662,197,309,0.010867486,0.13378906,0.3101741075515747,0.086961284,1154.0904743671417,1.93,403456,403456,-0.001083579,627.25
0.8827448,198,350,0.010683642,0.1359375,0.4583509564399719,0.00043567107,1159.9393141269684,1.93,405504,405504,0.000346861,622.66
0.81658334,199,331,0.012012287,0.15473633,0.045884132385253906,0.50674963,1166.1160457134247,1.83,407552,407552,-0.0031972066,604.89
