eplenmean,policy_entropy,total_timesteps,eprewmean,value_loss,clipfrac,nupdates,serial_timesteps,approxkl,fps,explained_variance,policy_loss,time_elapsed
602.0,0.40880466,259500,188.817678,19.420391,0.08466664,173,259500,0.005692923,326,0.9610793553292751,-0.009851012,804.054783821106
763.0,0.29312602,261000,306.019343,19.554434,0.0011333334,174,261000,0.0004824968,328,0.9629574753344059,-0.0011241507,808.6206386089325
572.0,0.3140072,262500,42.97921,20.690815,0.013199997,175,262500,0.0011619366,330,0.9452350027859211,-0.0014005627,813.1628751754761
587.0,0.3768602,264000,192.250885,19.43177,0.01979999,176,264000,0.001536386,319,0.9496641680598259,-0.002032326,817.8507754802704
760.0,0.35515463,265500,301.550441,2.7442799,0.012666664,177,265500,0.0011409107,313,0.9947124221362174,-0.0011676102,822.6303012371063
764.0,0.40807715,267000,304.233716,3.5538023,0.014466662,178,267000,0.0015925362,332,0.9931458136998117,-0.002245617,827.1481399536133
823.0,0.39449275,268500,398.08041,22.490654,0.0043333336,179,268500,0.0008952224,322,0.965206790715456,-0.0008183176,831.7953305244446
831.0,0.46788815,270000,268.980825,8.82003,0.0022666666,180,270000,0.0009843475,318,0.9830267373472452,-0.0013488797,836.5102591514587
642.0,0.23618874,271500,260.707279,24.284666,0.0,181,271500,4.8822305e-05,305,0.9339484423398972,-0.00014412838,841.4237518310547
640.0,0.19336143,273000,55.606695,35.245613,0.0,182,273000,5.7154637e-05,321,0.9016006290912628,-0.00026290285,846.0945208072662
689.0,0.30699357,274500,238.881032,15.527838,0.024599992,183,274500,0.0026069195,325,0.9701509065926075,-0.003126902,850.7006120681763
546.0,0.26905268,276000,244.129377,24.469063,0.010266666,184,276000,0.0007773158,321,0.9518980644643307,-0.0006524864,855.3724918365479
611.0,0.3120527,277500,101.920722,46.598377,0.017999995,185,277500,0.0014228085,299,0.8954027146100998,-0.002074394,860.3890490531921
760.0,0.3158815,279000,294.368433,4.133565,0.01673333,186,279000,0.0013955743,327,0.9923740951344371,-0.001224128,864.9754354953766
596.0,0.22613783,280500,109.507352,26.867905,0.0033333325,187,280500,0.0006941282,309,0.9096825122833252,-0.0011343058,869.8154804706573
645.0,0.24437025,282000,234.550463,29.078926,0.012733332,188,282000,0.001063925,312,0.9350911676883698,-0.0010866008,874.6223866939545
611.0,0.2884697,283500,170.153013,6.6477904,0.00080000004,189,283500,0.00027717432,322,0.9831304755061865,-0.00071537314,879.2778561115265
806.0,0.33795157,285000,59.079968,27.24145,0.03886665,190,285000,0.0026771673,321,0.9213739037513733,-0.0057228757,883.9495480060577
654.0,0.23718016,286500,213.965268,14.515033,0.0065333326,191,286500,0.0006207073,313,0.9514565728604794,-0.00090059044,888.7377641201019
628.0,0.36196476,288000,315.999277,38.514393,0.015799994,192,288000,0.0014798125,307,0.9429931193590164,-0.0065305526,893.6170332431793
714.0,0.238735,289500,238.674384,6.8017864,0.012399996,193,289500,0.00089622336,294,0.9853320848196745,-0.0022722897,898.7167813777924
612.0,0.24624349,291000,102.989376,30.87407,0.009666666,194,291000,0.0007939509,317,0.9368437230587006,-0.0007419818,903.438827753067
838.0,0.32452527,292500,223.895798,27.115671,0.00040000002,195,292500,0.00037326408,315,0.9095477983355522,-0.00031607787,908.1990163326263
760.0,0.24514748,294000,55.710841,23.604841,0.0032666656,196,294000,0.0004832566,309,0.9175500422716141,-0.0017033261,913.0413479804993
775.0,0.25396514,295500,342.258939,35.4071,0.026866663,197,295500,0.0022577185,319,0.94123225659132,-0.0019550174,917.7413973808289
792.0,0.26636314,297000,223.980015,24.809593,0.0027333335,198,297000,0.000526382,306,0.9470463953912258,-0.00085356826,922.6374020576477
625.0,0.20226091,298500,85.412238,17.999973,0.0,199,298500,6.754933e-05,298,0.9501034133136272,-4.4691787e-05,927.6568892002106
