fps,policy_loss,explained_variance,clipfrac,time_elapsed,approxkl,total_timesteps,policy_entropy,serial_timesteps,value_loss,eplenmean,nupdates,eprewmean
750,-0.00057320815,0.9035497680306435,0.0010803223,4776.6011798381805,0.0017049859,3604480,1.5188328,450560,11.45205,1500.0,220,230.87
715,-0.00056381465,0.9212600886821747,0.0024475097,4799.493949651718,0.0011227343,3620864,1.527615,452608,4.5964713,1500.0,221,225.45666666666668
658,-0.00040314082,0.9219737946987152,0.0007446289,4824.369738578796,0.00036511474,3637248,1.5303771,454656,5.102051,1500.0,222,211.48
785,-0.0009640199,0.8748588562011719,0.0012634278,4845.22457242012,0.0008330893,3653632,1.5186096,456704,14.161737,1500.0,223,218.93666666666667
730,-0.0006148483,0.9241253137588501,0.0071838377,4867.644614458084,0.0011740931,3670016,1.5303743,458752,11.090324,1500.0,224,225.19666666666666
687,0.00039421214,0.9170269146561623,0.04524536,4891.488294363022,0.004970869,3686400,1.52315,460800,0.8947819,1500.0,225,209.85333333333332
750,0.00055452884,0.9024094417691231,0.01048584,4913.3153829574585,0.0013096002,3702784,1.5216194,462848,21.040539,1500.0,226,220.27333333333334
726,-0.0028889596,0.8292742222547531,0.08786011,4935.859032154083,0.008495234,3719168,1.5597725,464896,0.002553479,1500.0,227,207.30666666666667
701,-0.002391816,0.8261896073818207,0.07802124,4959.204840660095,0.0071488507,3735552,1.5405846,466944,0.0016384416,1500.0,228,203.1
746,-0.0007448796,0.9640395268797874,0.009246826,4981.164105176926,0.0033210348,3751936,1.5348498,468992,1.4346391,1500.0,229,193.92
682,-6.798148e-06,0.8527994900941849,0.0,5005.170559644699,2.043985e-05,3768320,1.5309126,471040,21.588787,1500.0,230,191.23
773,-0.0013561149,0.9591985233128071,0.01217041,5026.353884458542,0.0035658658,3784704,1.5241109,473088,0.3671304,1500.0,231,189.80333333333334
751,-0.0012304749,0.9169719368219376,0.0031433105,5048.154315710068,0.001208831,3801088,1.5348947,475136,15.457994,1500.0,232,203.72333333333333
698,-0.00039482582,0.8728590607643127,8.544922e-05,5071.606281280518,0.00071225397,3817472,1.5168831,477184,29.745275,1500.0,233,223.86
729,-0.0016791157,0.9419314451515675,0.017492676,5094.067543268204,0.0045982725,3833856,1.5227745,479232,1.0706949,1500.0,234,219.39333333333335
755,-0.00036662366,0.927968829870224,0.0011962891,5115.744795084,0.0006086449,3850240,1.5237857,481280,10.666348,1500.0,235,222.65666666666667
676,-0.0032788515,0.952182698994875,0.07683106,5139.9591426849365,0.006627612,3866624,1.5122077,483328,0.028956512,1500.0,236,192.01333333333332
746,0.00064528274,0.8923885598778725,0.031396486,5161.894308567047,0.0029712657,3883008,1.4879599,485376,14.929502,1500.0,237,204.14
675,-0.00039082044,0.8676024675369263,0.0013305664,5186.150933265686,0.0005202001,3899392,1.4955442,487424,33.291847,1500.0,238,229.76333333333332
729,-0.00014681656,0.8658664673566818,0.0,5208.624885320663,0.00027656526,3915776,1.4920495,489472,30.97558,1500.0,239,248.20666666666668
720,-0.0010991803,0.8707089722156525,0.017034912,5231.361030578613,0.002415935,3932160,1.5374571,491520,29.317022,1500.0,240,255.64333333333335
681,-0.000803746,0.9224399849772453,0.0050842287,5255.420146226883,0.0012047006,3948544,1.5074764,493568,13.766276,1500.0,241,264.35
758,-0.0014724187,0.9558118619024754,0.06297608,5277.009635448456,0.00694202,3964928,1.5202012,495616,0.32545513,1500.0,242,264.35
768,-0.0020026837,0.9389577656984329,0.022192383,5298.327220916748,0.004324465,3981312,1.5200359,497664,8.453593,1500.0,243,266.77666666666664
688,-0.003360575,-0.7568634748458862,0.08807983,5322.11279964447,0.007792514,3997696,1.553057,499712,0.00071021484,1500.0,244,259.54333333333335
745,-0.003216423,-0.041130781173706055,0.09585571,5344.101799964905,0.008113041,4014080,1.5575063,501760,0.00011307873,1500.0,245,255.05666666666667
730,-0.0037385144,-1.2677040100097656,0.05634155,5366.527040243149,0.007393734,4030464,1.5601958,503808,7.404272e-05,1500.0,246,255.05666666666667
717,-0.0034877067,-0.5300254821777344,0.046209715,5389.348561763763,0.006270661,4046848,1.5489051,505856,0.00012902213,1500.0,247,249.46333333333334
742,-0.0016879786,-1.0305449962615967,0.027539063,5411.42157459259,0.0045701917,4063232,1.5514591,507904,4.6931407e-05,1500.0,248,243.97333333333333
691,-0.004338659,-0.7678805589675903,0.060302734,5435.130197525024,0.0074556367,4079616,1.5586644,509952,5.4050208e-05,1500.0,249,234.39333333333335
718,-0.0010814437,0.9598749428987503,0.024035644,5457.936835765839,0.003534431,4096000,1.5284448,512000,0.07282084,1500.0,250,226.76333333333332
743,-0.0005682899,0.909649208188057,0.0018554687,5479.973973751068,0.00097036595,4112384,1.5456238,514048,5.294841,1500.0,251,217.75333333333333
