approxkl,fps,serial_timesteps,eprewmean,value_loss,total_timesteps,policy_loss,eplenmean,clipfrac,time_elapsed,policy_entropy,nupdates,explained_variance
0.004176552,377,246000,0.115703,0.08320751,246000,-0.0025861026,1500.0,0.055333305,645.8039848804474,0.5632658,164,0.034098029136657715
0.0074486746,381,247500,0.0,0.0825167,247500,-0.0037183536,1500.0,0.08493329,649.7364854812622,0.4869333,165,0.7742109596729279
0.003971523,385,249000,0.0,0.01919178,249000,-0.0026150176,1500.0,0.041599974,653.6299092769623,0.51804465,166,0.47154563665390015
0.007865163,387,250500,0.0,0.016417228,250500,-0.00599801,1500.0,0.09359999,657.5012295246124,0.5847016,167,0.4629073143005371
0.0070224954,378,252000,0.121099,0.019295728,252000,-0.0074134846,1500.0,0.07166663,661.4605329036713,0.5616744,168,0.25117164850234985
0.008743984,383,253500,0.442969,0.049181618,253500,-0.0060960823,1500.0,0.105666645,665.3727922439575,0.5574815,169,0.11519026756286621
0.0054286183,382,255000,0.767528,0.1523273,255000,-0.0045293705,1500.0,0.071866624,669.2976219654083,0.43469086,170,0.2660231590270996
0.006305052,378,256500,0.434812,0.038518168,256500,-0.004047722,1500.0,0.06826662,673.2623386383057,0.45548782,171,0.6021645665168762
0.009094021,385,258000,0.0,0.03223135,258000,-0.008033132,1500.0,0.10419998,677.1578965187073,0.57449657,172,0.29130297899246216
0.0062465575,368,259500,0.169604,0.06466302,259500,-0.0020454715,1500.0,0.05499997,681.2281346321106,0.5235536,173,0.5931224226951599
0.010959134,373,261000,10.0,0.35400048,261000,0.0004104943,1187.0,0.11406666,685.2482817173004,0.4459158,174,0.34207683801651
0.0059287073,379,262500,0.128656,0.014425132,262500,-0.0040147197,1500.0,0.065133296,689.2036559581757,0.50713295,175,0.4040154218673706
0.008815469,385,264000,0.0,0.017812876,264000,-0.0047406093,1500.0,0.0877333,693.0918819904327,0.51177263,176,0.47107988595962524
